date_time,open_price,high_price,low_price,close_price,quantity
2023/08/17 01:05, 16345.00, 16345.00, 16341.00, 16342.00, 106
2023/08/17 01:06, 16341.00, 16345.00, 16341.00, 16341.00, 94
2023/08/17 01:07, 16340.00, 16340.00, 16326.00, 16327.00, 871
2023/08/17 01:08, 16329.00, 16329.00, 16325.00, 16326.00, 281
2023/08/17 01:09, 16325.00, 16327.00, 16322.00, 16325.00, 286
2023/08/17 01:10, 16326.00, 16326.00, 16319.00, 16320.00, 435
2023/08/17 01:11, 16319.00, 16323.00, 16315.00, 16319.00, 565
2023/08/17 01:12, 16318.00, 16324.00, 16317.00, 16322.00, 197
2023/08/17 01:13, 16320.00, 16323.00, 16319.00, 16319.00, 101
2023/08/17 01:14, 16320.00, 16329.00, 16320.00, 16329.00, 161
2023/08/17 01:15, 16329.00, 16329.00, 16326.00, 16328.00, 172
2023/08/17 01:16, 16327.00, 16328.00, 16325.00, 16325.00, 124
2023/08/17 01:17, 16326.00, 16330.00, 16323.00, 16329.00, 180
2023/08/17 01:18, 16328.00, 16329.00, 16324.00, 16328.00, 80
2023/08/17 01:19, 16328.00, 16329.00, 16324.00, 16325.00, 100
2023/08/17 01:20, 16326.00, 16328.00, 16325.00, 16326.00, 44
2023/08/17 01:21, 16326.00, 16328.00, 16324.00, 16328.00, 82
2023/08/17 01:22, 16327.00, 16330.00, 16325.00, 16330.00, 101
2023/08/17 01:23, 16331.00, 16335.00, 16330.00, 16335.00, 199
2023/08/17 01:24, 16335.00, 16335.00, 16330.00, 16333.00, 98
2023/08/17 01:25, 16332.00, 16334.00, 16331.00, 16332.00, 41
2023/08/17 01:26, 16332.00, 16333.00, 16331.00, 16331.00, 41
2023/08/17 01:27, 16331.00, 16335.00, 16328.00, 16333.00, 117
2023/08/17 01:28, 16333.00, 16336.00, 16332.00, 16333.00, 107
2023/08/17 01:29, 16332.00, 16332.00, 16329.00, 16330.00, 94
2023/08/17 01:30, 16329.00, 16331.00, 16327.00, 16330.00, 75
2023/08/17 01:31, 16330.00, 16330.00, 16323.00, 16324.00, 205
2023/08/17 01:32, 16324.00, 16326.00, 16324.00, 16326.00, 53
2023/08/17 01:33, 16326.00, 16332.00, 16326.00, 16332.00, 118
2023/08/17 01:34, 16331.00, 16332.00, 16329.00, 16331.00, 59
2023/08/17 01:35, 16331.00, 16332.00, 16330.00, 16332.00, 29
2023/08/17 01:36, 16331.00, 16333.00, 16330.00, 16333.00, 32
2023/08/17 01:37, 16333.00, 16335.00, 16330.00, 16335.00, 70
2023/08/17 01:38, 16335.00, 16338.00, 16335.00, 16335.00, 132
2023/08/17 01:39, 16336.00, 16336.00, 16334.00, 16335.00, 68
2023/08/17 01:40, 16335.00, 16338.00, 16333.00, 16338.00, 44
2023/08/17 01:41, 16338.00, 16345.00, 16335.00, 16343.00, 244
2023/08/17 01:42, 16344.00, 16348.00, 16344.00, 16346.00, 173
2023/08/17 01:43, 16346.00, 16350.00, 16345.00, 16350.00, 180
2023/08/17 01:44, 16351.00, 16353.00, 16350.00, 16353.00, 166
2023/08/17 01:45, 16353.00, 16353.00, 16348.00, 16348.00, 142
2023/08/17 01:46, 16348.00, 16350.00, 16348.00, 16349.00, 59
2023/08/17 01:47, 16348.00, 16351.00, 16348.00, 16349.00, 66
2023/08/17 01:48, 16349.00, 16355.00, 16349.00, 16355.00, 102
2023/08/17 01:49, 16354.00, 16362.00, 16354.00, 16358.00, 379
2023/08/17 01:50, 16359.00, 16361.00, 16356.00, 16357.00, 147
2023/08/17 01:51, 16358.00, 16360.00, 16355.00, 16355.00, 69
2023/08/17 01:52, 16355.00, 16355.00, 16352.00, 16353.00, 75
2023/08/17 01:53, 16353.00, 16354.00, 16351.00, 16352.00, 48
2023/08/17 01:54, 16352.00, 16355.00, 16351.00, 16355.00, 48
2023/08/17 01:55, 16355.00, 16355.00, 16353.00, 16353.00, 31
2023/08/17 01:56, 16355.00, 16358.00, 16354.00, 16356.00, 62
2023/08/17 01:57, 16356.00, 16357.00, 16355.00, 16357.00, 31
2023/08/17 01:58, 16356.00, 16359.00, 16355.00, 16356.00, 57
2023/08/17 01:59, 16356.00, 16356.00, 16354.00, 16355.00, 33
2023/08/17 02:00, 16356.00, 16359.00, 16355.00, 16355.00, 138
2023/08/17 02:01, 16357.00, 16357.00, 16347.00, 16349.00, 187
2023/08/17 02:02, 16349.00, 16355.00, 16349.00, 16352.00, 79
2023/08/17 02:03, 16352.00, 16352.00, 16335.00, 16337.00, 324
2023/08/17 02:04, 16336.00, 16348.00, 16335.00, 16345.00, 164
2023/08/17 02:05, 16344.00, 16345.00, 16341.00, 16343.00, 79
2023/08/17 02:06, 16343.00, 16348.00, 16342.00, 16348.00, 52
2023/08/17 02:07, 16347.00, 16348.00, 16343.00, 16346.00, 79
2023/08/17 02:08, 16344.00, 16347.00, 16344.00, 16347.00, 37
2023/08/17 02:09, 16347.00, 16348.00, 16343.00, 16344.00, 48
2023/08/17 02:10, 16343.00, 16347.00, 16342.00, 16345.00, 50
2023/08/17 02:11, 16346.00, 16346.00, 16335.00, 16337.00, 120
2023/08/17 02:12, 16337.00, 16340.00, 16332.00, 16337.00, 129
2023/08/17 02:13, 16337.00, 16338.00, 16332.00, 16335.00, 81
2023/08/17 02:14, 16335.00, 16342.00, 16335.00, 16341.00, 116
2023/08/17 02:15, 16341.00, 16343.00, 16340.00, 16342.00, 64
2023/08/17 02:16, 16341.00, 16347.00, 16338.00, 16346.00, 78
2023/08/17 02:17, 16346.00, 16347.00, 16343.00, 16343.00, 57
2023/08/17 02:18, 16343.00, 16366.00, 16343.00, 16364.00, 435
2023/08/17 02:19, 16364.00, 16365.00, 16362.00, 16364.00, 123
